Original Tags,Tag Category,Tag Term,Question,Answer 1,Answer 2,Answer 3,Answer 4
community_rules_and_governance-bulk_trash_disposal_rules,Community Rules and Governance,Bulk Trash Disposal Rules,Are there trash disposal rules?,Yes,No,,
community_rules_and_governance-ccr_amendment_procedure,Community Rules and Governance,CCR Amendment Procedure,Is there a CCR amendment procedure?,Yes,No,,
community_rules_and_governance-common_area_restrictions_details,Community Rules and Governance,Common Area Restrictions,Explain common area restrictions.,(explanation),,,
community_rules_and_governance-has_common_area_restrictions,Community Rules and Governance,Common Area Restrictions,Are there common area restrictions?,Yes,No,,
community_rules_and_governance-has_noise_restrictions,Community Rules and Governance,Noise Restrictions,Are there noise restrictions?,Yes,No,,
community_rules_and_governance-has_pool_clubhouse_restrictions,Community Rules and Governance,Pool Clubhouse Restrictions,Are there pool clubhouse restrictions?,Yes,No,,
community_rules_and_governance-has_security_camera_restrictions,Community Rules and Governance,Security Camera Restrictions,Are there personal home security camera restrictions?,Yes,no,,
community_rules_and_governance-has_smoking_restrictions,Community Rules and Governance,Smoking Restrictions,Are there smoking restrictions?,Yes,no,,
community_rules_and_governance-noise_restrictions_details,Community Rules and Governance,Noise Restriction Details,Explain the noise restrictions.,(explanation),,,
community_rules_and_governance-pool_clubhouse_restrict_details,Community Rules and Governance,Pool Clubhouse Restrictions Details,Explain the pool clubhouse restrictions.,(explanation),,,
community_rules_and_governance-security_camera_restrict_details,Community Rules and Governance,Security Camera Restrictions Details,Explain the personal home security camera restrictions.,(explanation),,,
community_rules_and_governance-smoking_restrictions_details,Community Rules and Governance,Smoking Restrictions Details,Explain the smoking restrictions.,(explanation),,,
community_rules_and_governance-snow_removal_responsibility,Community Rules and Governance,Snow Removal Responsibility,Are residents responsible for snow removal?,Yes,No,,
financial_and_legal-dues_frequency_and_amount_details,Financial and Legal,Dues Frequency & Amount Details,How frequently does the HOA collect dues?,Monthly,Quarterly,Bi-annually,Annually
financial_and_legal-foreclosure_process_for_unpaid_dues,Financial and Legal,Foreclosure Process for Unpaid Dues,Is there a foreclosure process for unpaid dues?,Yes,No,,
financial_and_legal-foreclosure_process_for_unpaid_dues_details,Financial and Legal,Foreclosure Process for Unpaid Dues Details,Explain the foreclosure process for unpaid dues.,(explanation),,,
financial_and_legal-has_violation_fine_schedule,Financial and Legal,Violation Fine Schedule,Is there a violation fine schedule?,Yes,No,,
financial_and_legal-hoa_board_meeting_frequency,Financial and Legal,HOA Board Meeting Frequency,How often does the HOA board meet?,0-180 days,,,
financial_and_legal-late_fee_policy,Financial and Legal,Late Fee Policy,Is there a late fee policy?,Yes,No,,
financial_and_legal-late_fee_policy_details,Financial and Legal,Late Fee Policy Details,Explain the late fee policy.,(explanation),,,
financial_and_legal-monetary_transparency_policies,Financial and Legal,Monetary Transparency Policies,Is there a monetary transparency policy?,Yes,No,,
financial_and_legal-monetary_transparency_policies_details,Financial and Legal,Monetary Transparency Policies Details,Explain the monetary transparency policy.,(explanation),,,
financial_and_legal-monthly_dues_amount,Financial and Legal,Monthly Dues Amount,What is the dues amount for each property type?,$0-500,,,
financial_and_legal-special_assessment_policy,Financial and Legal,Special Assessment Policy,Is there a special assessment policy?,Yes,No,,
financial_and_legal-transfer_or_reinvestment_fee,Financial and Legal,Transfer or Reinvestment Fee,Is there a transfer or reinvestment fee?,Yes,No,,
financial_and_legal-violation_fine_schedule_details,Financial and Legal,Violation Fine Schedule Details,Explain the violation fine schedule.,(explanation),,,
financial_and_legal-voting_rights_structure,Financial and Legal,Voting Rights Structure,Explain the voting rights structure.,(explanation),,,
parking_and_vehicles-boat_parking_allowed,Parking and Vehicles,Boat Parking Allowed,Are there parking rules?,Yes,No,,
parking_and_vehicles-boat_parking_rules,Parking and Vehicles,Boat Parking Rules,Explain the parking rules.,(explanation),,,
parking_and_vehicles-commercial_vehicle_restrictions,Parking and Vehicles,Commercial Vehicle Restrictions,,,,,
parking_and_vehicles-commercial_vehicle_rules,Parking and Vehicles,Commercial Vehicle Rules,,,,,
parking_and_vehicles-driveway_parking_restrictions,Parking and Vehicles,Driveway Parking Restrictions,,,,,
parking_and_vehicles-guest_parking_rules,Parking and Vehicles,Guest Parking Rules,,,,,
